         1        92        0.10057     8.77452   9.28089  -2.41093   7.72611  18.63587  18.85875  18.29750  18.74407  18.74781  17.20760  16.41696  -1.22408  17.23998   8.87639   9.30444
         2       498        0.11858     8.47134   9.13404  -2.34573   8.08857  16.48735  18.85462  19.39193  15.63049  17.99762  17.93040  18.31589   2.85366  18.48071   9.24835   9.85050
         3        38        0.12357     9.81664   9.16613  -2.37419   9.87309  17.50051  17.30316  16.90728  17.37486  17.41397  17.15451  16.65923  -1.16291  16.88406  11.98487  14.18650
         4       569        0.12797    10.29565   9.42498  -5.23165  10.75333  17.32778  17.55283  17.13655  16.46515  17.76836  18.03396  17.58993  -0.54598  17.47541  10.78079   9.83471
         5       330        0.12816    10.44808   9.30531   1.48536  11.00541  18.74268  19.01766  19.07157  17.74600  18.79504  16.18442  13.29411  -0.96660  16.23366   9.22642  11.29516
         6       293        0.12860     8.86959   7.74542   2.07923   9.42808  18.62217  18.84803  18.91562  17.72120  18.70250  16.84689  14.49653  -1.07928  16.84435   9.87955  12.14245
         7       170        0.13405     8.90491   8.16971  -2.33940   9.05108  17.37894  17.27213  16.80823  17.18348  17.43731  17.25055  16.88949  -0.62453  16.94537  12.82017  14.99097
         8       264        0.13742     6.89005   9.41550  -6.02561   7.05347  18.36515  18.59104  17.67988  15.97714  18.48576  17.84397  17.60576  -1.63458  17.90077  10.36202   9.94092
         9       584        0.14510     7.14268  10.94595  -2.94475   6.17757  17.11617  18.36702  17.78318  17.56947  17.98697  15.41978  15.44167   0.51501  15.79182  14.59530  15.18022
        10       355        0.14611     9.29593  10.19297  -5.44078   8.74394  17.35114  17.90698  17.24849  16.91984  17.79103  16.50536  16.92251  -3.72754  16.57576  11.98414  12.46561
        11       927        0.15012     8.06236   7.94198  -5.69015   8.47552  17.58283  17.83508  17.02023  16.37240  17.92101  17.53527  17.37768  -2.25310  17.27354  13.38560  11.43365
        12       157        0.15207     6.19074   7.00812   1.07636   4.35072  18.62970  18.87910  18.72609  18.19363  18.98255  17.54386  16.67675  -0.28051  17.51122  10.01496  10.65547
        13       784        0.15412     8.17415   7.30963  -0.81971   8.68021  17.21537  17.67808  17.41704  15.83179  17.63126  17.75759  17.56413  -2.35384  17.60866  11.61052  14.60568
        14        71        0.15518    10.88929  10.04788  -0.88393  11.15590  17.21894  17.27639  17.23077  16.94524  17.16531  16.31911  14.81708  -1.99716  16.08681  13.00004  14.85001
        15       735        0.15875     5.62417   9.58426  -3.55466   5.57065  18.32386  18.39330  17.97359  16.00760  18.44145  17.92586  17.19291  -3.37126  18.15999  10.62599  11.02659
        16       144        0.15947     9.91867   9.85562  -4.35071   9.41391  18.32724  18.18222  17.53229  18.31317  18.43478  17.68754  17.05423  -1.50329  17.82176   6.20076   6.19210
        17       120        0.16417     8.39871   9.80672  -3.96518   9.69382  17.50935  18.90821  18.05013  12.30110  17.13845  16.93435  16.27231   6.73215  16.94468  12.52283  13.98955
        18       539        0.16490     9.14583   8.34687  -3.69291   9.35453  17.31801  17.05416  16.52855  17.12252  17.42527  16.55129  15.67395  -2.09842  16.59097  15.32926  14.05906
        19       620        0.16688     7.07827   7.17475   0.12252   7.13208  17.76903  17.77096  17.69034  16.61383  17.63634  17.36076  16.73892  -2.91470  17.23834  12.25469  14.95790
        20        45        0.16731    10.25180   9.37687  -3.00510  10.49483  16.85606  16.66549  16.23263  16.80319  16.78871  16.44067  16.01110  -1.57451  16.49776  14.12793  15.55840
        21       699        0.16976     7.48663   8.77567  -6.71922   8.12967  17.98936  18.16126  17.23276  14.39738  17.74302  18.45372  18.14257  -2.67655  18.36397  10.56812   9.98211
        22        61        0.17106     8.60798   7.62717  -3.32346   8.99710  16.95457  16.85574  16.33851  16.63831  17.15978  17.04151  16.36318  -0.59374  16.90281  15.84579  14.54317
        23       748        0.17121    12.82996  12.25975  -3.18579  12.70014  16.98796  17.02536  17.07798  15.97448  16.78700  16.25843  15.72005  -2.79485  16.01645  10.35566  12.81613
        24       295        0.17293    12.00363  10.33567  -1.30094  12.95449  18.96128  19.04640  18.76188  18.64454  19.15003  13.78582  10.24687   4.93394  13.49703  11.48796   9.81520
        25       742        0.17592     8.84469   9.37384  -8.17287   9.66964  17.54504  17.66625  16.73344  14.52780  17.33676  17.36717  17.12673  -2.33350  17.22309  12.89020  11.60391
        26       573        0.17613    11.62802  11.29353  -7.21622  11.87283  15.96410  18.08069  18.09279  15.86563  17.52307  17.23190  16.73460  -0.72982  17.48950   8.29479   7.72474
        27       113        0.17787    10.32720  11.01708  -4.56613   9.94284  17.38201  18.54414  18.49504  16.63491  17.84983  13.14220  12.88729   5.90804  13.35989  15.03134  14.97984
        28       173        0.17829     9.90482  10.49065  -5.64083  10.99751  17.03335  17.12225  16.89142  13.88551  16.50681  17.07354  16.70260  -2.46251  17.01181  12.62523  14.59679
        29       526        0.17984     5.95110   7.09286  -1.02466   4.71704  17.32961  18.11890  17.92578  16.47061  17.92922  18.40496  18.46095  -2.81351  18.48803  11.17779  11.20873
        30        10        0.18029     7.63592   8.53333  -5.14998   6.99046  16.68157  17.27150  16.62774  16.09311  17.16604  17.75674  17.84728  -2.96851  17.70096  14.31991  12.52220
        31       920        0.18116     4.72273  10.66429  -4.06319   6.13208  17.50133  17.12827  17.20357  17.28603  17.08987  18.90038  17.22653  -3.55150  18.60742  10.90453  11.03307
